ProviderID,PotentialFraud,Total_Claims,Unique_Patients,Total_Paid,Avg_Paid_Per_Claim,Max_Claim_Amount,Inpatient_Claims,Outpatient_Claims,Fraud_Reimbursed_Amt,Legit_Reimbursed_Amt,Fraud_Rate_Pct
PRV56640,No,3,3,90,30,50,0,3,0,90,0
PRV53301,No,2,1,290,145,200,0,2,0,290,0
PRV53387,No,3,3,23200,7733.33,19000,3,0,0,23200,0
PRV55670,Yes,9,8,98000,10888.89,21000,9,0,98000,0,100
PRV57584,No,3,3,21000,7000,11000,3,0,0,21000,0
PRV54985,No,4,4,430,107.5,200,0,4,0,430,0
PRV55835,Yes,9,8,67210,7467.78,26000,7,2,67210,0,100
PRV55603,No,2,2,15000,7500,9000,2,0,0,15000,0
PRV51129,No,1,1,60,60,60,0,1,0,60,0
PRV52980,No,9,4,910,101.11,400,0,9,0,910,0
PRV56718,No,4,3,380,95,300,0,4,0,380,0
PRV51403,No,13,11,254250,19557.69,57000,10,3,0,254250,0
PRV51026,No,4,4,340,85,200,0,4,0,340,0
PRV55382,No,8,8,129000,16125,57000,8,0,0,129000,0
PRV52910,No,11,10,149060,13550.91,57000,10,1,0,149060,0
PRV57334,No,39,33,443000,11358.97,57000,39,0,0,443000,0
PRV56985,No,2,2,20,10,10,0,2,0,20,0
PRV57746,No,3,3,110,36.67,60,0,3,0,110,0
PRV51557,No,1,1,11000,11000,11000,1,0,0,11000,0
PRV54901,No,9,9,96300,10700,46000,8,1,0,96300,0
PRV54477,No,4,2,470,117.5,400,0,4,0,470,0
PRV51812,No,1,1,6000,6000,6000,1,0,0,6000,0
PRV51308,No,1,1,1700,1700,1700,0,1,0,1700,0
PRV54877,No,1,1,70,70,70,0,1,0,70,0
PRV55934,Yes,25,11,50730,2029.2,14000,6,19,50730,0,100
PRV54092,No,16,8,2620,163.75,1200,0,16,0,2620,0
PRV53920,No,14,7,37320,2665.71,30000,3,11,0,37320,0
PRV54363,No,14,13,118110,8436.43,33000,12,2,0,118110,0
PRV54419,No,1,1,200,200,200,0,1,0,200,0
PRV55452,No,32,28,362790,11337.19,57000,31,1,0,362790,0
PRV56119,No,11,11,120000,10909.09,21000,11,0,0,120000,0
PRV51442,No,2,2,25000,12500,21000,2,0,0,25000,0
PRV56030,No,1,1,200,200,200,0,1,0,200,0
PRV51788,No,7,3,5170,738.57,2700,0,7,0,5170,0
PRV52307,Yes,54,53,770000,14259.26,63000,53,1,770000,0,100
PRV51397,No,3,3,1630,543.33,1500,0,3,0,1630,0
PRV56121,No,16,16,229000,14312.5,57000,16,0,0,229000,0
PRV57078,No,10,9,75000,7500,16000,10,0,0,75000,0
PRV56754,No,10,7,54400,5440,11000,9,1,0,54400,0
PRV53867,No,9,9,90000,10000,34000,9,0,0,90000,0
PRV57072,No,4,4,30000,7500,13000,4,0,0,30000,0
PRV55717,No,2,1,150,75,90,0,2,0,150,0
PRV56579,No,2,2,1900,950,1500,0,2,0,1900,0
PRV56761,No,96,87,825180,8595.63,57000,92,4,0,825180,0
PRV55375,Yes,14,14,147900,10564.29,57000,14,0,147900,0,100
PRV51428,No,5,5,31200,6240,11000,4,1,0,31200,0
PRV57534,No,3,3,3200,1066.67,1300,0,3,0,3200,0
PRV51860,No,16,8,26660,1666.25,10000,4,12,0,26660,0
PRV52949,No,2,1,80,40,60,0,2,0,80,0
PRV56020,No,17,17,136160,8009.41,36000,15,2,0,136160,0
PRV54475,No,2,1,2000,1000,1500,0,2,0,2000,0
PRV56941,No,1,1,800,800,800,0,1,0,800,0
PRV52279,No,82,76,783000,9548.78,57000,82,0,0,783000,0
PRV53268,No,10,9,69180,6918,23000,7,3,0,69180,0
PRV53591,No,6,6,70000,11666.67,28000,6,0,0,70000,0
PRV53448,No,11,11,76700,6972.73,19000,10,1,0,76700,0
PRV51573,No,10,8,43740,4374,12000,5,5,0,43740,0
PRV56305,No,4,1,360,90,100,0,4,0,360,0
PRV51007,No,6,4,19360,3226.67,10000,3,3,0,19360,0
PRV56828,No,5,5,1140,228,700,0,5,0,1140,0
PRV53456,No,6,6,62400,10400,28000,5,1,0,62400,0
PRV54917,No,15,15,109000,7266.67,13000,15,0,0,109000,0
PRV57126,No,11,11,77040,7003.64,13000,10,1,0,77040,0
PRV55753,No,10,10,87300,8730,18000,8,2,0,87300,0
PRV56275,No,2,1,510,255,500,0,2,0,510,0
PRV55745,No,4,3,530,132.5,200,0,4,0,530,0
PRV55601,No,1,1,500,500,500,0,1,0,500,0
PRV53319,No,13,9,99000,7615.38,15000,13,0,0,99000,0
PRV51345,No,2,2,30,15,20,0,2,0,30,0
PRV51467,No,8,8,70880,8860,44000,7,1,0,70880,0
PRV52850,No,4,3,16500,4125,16000,1,3,0,16500,0
PRV55231,No,3,2,160,53.33,100,0,3,0,160,0
PRV54833,No,1,1,800,800,800,0,1,0,800,0
PRV51433,Yes,30,22,4760,158.67,1100,0,30,4760,0,100
PRV53229,No,3,1,930,310,600,0,3,0,930,0
PRV54883,No,1,1,13000,13000,13000,1,0,0,13000,0
PRV51546,No,9,9,104000,11555.56,21000,9,0,0,104000,0
PRV51492,No,14,14,133000,9500,23000,14,0,0,133000,0
PRV53144,No,4,4,30300,7575,15000,4,0,0,30300,0
PRV57024,No,9,9,132700,14744.44,46000,9,0,0,132700,0
PRV57269,No,4,1,1300,325,800,0,4,0,1300,0
PRV56122,No,3,3,20000,6666.67,11000,3,0,0,20000,0
PRV55178,No,2,2,10000,5000,6000,2,0,0,10000,0
PRV52437,No,1,1,90,90,90,0,1,0,90,0
PRV51357,Yes,16,16,171980,10748.75,33000,13,3,171980,0,100
PRV53958,No,29,26,213230,7352.76,21000,23,6,0,213230,0
PRV55263,No,7,7,4160,594.29,3300,0,7,0,4160,0
PRV52559,No,7,4,1560,222.86,1100,0,7,0,1560,0
PRV52296,No,2,2,12000,6000,10000,2,0,0,12000,0
PRV57427,No,14,12,110000,7857.14,19000,14,0,0,110000,0
PRV56412,No,10,9,87300,8730,21000,9,1,0,87300,0
PRV53470,No,1,1,200,200,200,0,1,0,200,0
PRV54086,No,1,1,60,60,60,0,1,0,60,0
PRV55997,No,9,8,4840,537.78,3300,0,9,0,4840,0
PRV51115,No,1,1,40,40,40,0,1,0,40,0
PRV51440,No,9,9,80150,8905.56,20000,7,2,0,80150,0
PRV52173,Yes,119,108,1381400,11608.4,73000,119,0,1381400,0,100
PRV57197,No,8,8,98000,12250,28000,8,0,0,98000,0
PRV51582,No,1,1,12000,12000,12000,1,0,0,12000,0
PRV54567,No,6,5,108000,18000,37000,6,0,0,108000,0
PRV57542,No,1,1,60,60,60,0,1,0,60,0
PRV56594,No,5,4,4590,918,3300,0,5,0,4590,0
PRV57102,No,5,5,62200,12440,46000,4,1,0,62200,0
PRV52789,No,1,1,10,10,10,0,1,0,10,0
PRV55583,No,3,3,18000,6000,9000,3,0,0,18000,0
PRV52982,Yes,4,3,3370,842.5,2000,0,4,3370,0,100
PRV53910,No,29,29,254110,8762.41,47000,27,2,0,254110,0
PRV53309,No,6,5,32800,5466.67,19000,4,2,0,32800,0
PRV57285,No,8,8,83000,10375,28000,8,0,0,83000,0
PRV55573,No,4,4,29000,7250,11000,4,0,0,29000,0
PRV53074,No,1,1,200,200,200,0,1,0,200,0
PRV56618,No,1,1,70,70,70,0,1,0,70,0
PRV56263,No,2,2,20000,10000,13000,2,0,0,20000,0
PRV57309,No,13,13,96050,7388.46,34000,12,1,0,96050,0
PRV57425,Yes,32,27,312200,9756.25,50000,32,0,312200,0,100
PRV56410,No,1,1,60,60,60,0,1,0,60,0
PRV56572,No,1,1,70,70,70,0,1,0,70,0
PRV57138,No,1,1,900,900,900,0,1,0,900,0
PRV54076,No,11,11,78200,7109.09,23000,9,2,0,78200,0
PRV57481,Yes,62,52,776000,12516.13,57000,62,0,776000,0,100
PRV55739,No,19,19,211000,11105.26,31000,19,0,0,211000,0
PRV53415,No,1,1,200,200,200,0,1,0,200,0
PRV54317,No,1,1,600,600,600,0,1,0,600,0
PRV53908,No,1,1,100,100,100,0,1,0,100,0
PRV55374,Yes,33,31,335000,10151.52,43000,33,0,335000,0,100
PRV51632,No,4,4,19000,4750,8000,4,0,0,19000,0
PRV56131,No,15,13,141000,9400,19000,15,0,0,141000,0
PRV54001,No,8,8,61000,7625,28000,8,0,0,61000,0
PRV51644,No,1,1,7000,7000,7000,1,0,0,7000,0
PRV51928,No,2,2,90,45,80,0,2,0,90,0
PRV54932,No,1,1,2000,2000,2000,1,0,0,2000,0
PRV52701,No,1,1,30,30,30,0,1,0,30,0
PRV56426,No,12,6,4040,336.67,2500,0,12,0,4040,0
PRV51916,No,5,1,1580,316,700,0,5,0,1580,0
PRV52642,Yes,151,133,1252800,8296.69,57000,146,5,1252800,0,100
PRV51289,No,2,2,0,0,0,0,2,0,0,0
PRV51608,No,10,10,71070,7107,16000,9,1,0,71070,0
PRV51189,No,1,1,500,500,500,0,1,0,500,0
PRV54771,Yes,15,14,151700,10113.33,38000,12,3,151700,0,100
PRV57299,No,6,6,40000,6666.67,14000,6,0,0,40000,0
PRV56274,No,4,4,22000,5500,12000,4,0,0,22000,0
PRV55279,No,1,1,70,70,70,0,1,0,70,0
PRV56014,No,19,19,142000,7473.68,22000,19,0,0,142000,0
PRV56135,No,3,3,47000,15666.67,36000,3,0,0,47000,0
PRV56549,No,2,2,14000,7000,10000,2,0,0,14000,0
PRV52568,No,11,2,1140,103.64,500,0,11,0,1140,0
PRV52394,No,7,5,16470,2352.86,8000,3,4,0,16470,0
PRV51470,No,4,4,24500,6125,11000,3,1,0,24500,0
PRV56703,No,21,21,180200,8580.95,32000,21,0,0,180200,0
PRV56105,No,30,27,264530,8817.67,33000,29,1,0,264530,0
PRV53519,No,9,9,61000,6777.78,13000,9,0,0,61000,0
PRV51138,No,1,1,6000,6000,6000,1,0,0,6000,0
PRV53775,No,2,2,12000,6000,11000,2,0,0,12000,0
PRV51625,No,4,4,19000,4750,5000,4,0,0,19000,0
PRV52614,No,6,3,160,26.67,40,0,6,0,160,0
PRV56229,No,2,2,3370,1685,3300,0,2,0,3370,0
PRV56487,No,2,2,9060,4530,9000,1,1,0,9060,0
PRV54847,No,15,11,69150,4610,16000,10,5,0,69150,0
PRV53941,No,8,7,59040,7380,14000,6,2,0,59040,0
PRV55197,No,2,2,600,300,400,0,2,0,600,0
PRV51311,No,3,3,13000,4333.33,6000,3,0,0,13000,0
PRV53509,No,1,1,15000,15000,15000,1,0,0,15000,0
PRV52031,No,4,3,11230,2807.5,11000,1,3,0,11230,0
PRV51076,No,2,1,1300,650,1100,0,2,0,1300,0
PRV57642,Yes,31,20,288890,9319.03,57000,23,8,288890,0,100
PRV55626,No,2,2,170,85,100,0,2,0,170,0
PRV53383,No,4,4,43000,10750,18000,4,0,0,43000,0
PRV56231,Yes,34,30,350220,10300.59,57000,32,2,350220,0,100
PRV54070,Yes,19,18,5500,289.47,2600,0,19,5500,0,100
PRV57601,No,2,2,160,80,100,0,2,0,160,0
PRV54576,No,14,14,113000,8071.43,18000,14,0,0,113000,0
PRV54205,No,9,8,65000,7222.22,13000,9,0,0,65000,0
PRV57594,No,1,1,4000,4000,4000,1,0,0,4000,0
PRV56114,No,1,1,20,20,20,0,1,0,20,0
PRV51614,Yes,150,131,1446100,9640.67,85000,148,2,1446100,0,100
PRV52014,No,9,9,2650,294.44,1200,0,9,0,2650,0
PRV51885,No,3,2,160,53.33,100,0,3,0,160,0
PRV56511,No,2,1,120,60,100,0,2,0,120,0
PRV53026,No,1,1,70,70,70,0,1,0,70,0
PRV55831,No,5,5,3650,730,2800,0,5,0,3650,0
PRV51410,Yes,16,5,2660,166.25,800,0,16,2660,0,100
PRV54354,Yes,26,23,231900,8919.23,30000,25,1,231900,0,100
PRV52107,No,10,10,93000,9300,24000,10,0,0,93000,0
PRV55431,No,2,2,58000,29000,55000,2,0,0,58000,0
PRV53669,No,1,1,90,90,90,0,1,0,90,0
PRV51820,No,5,5,25000,5000,13000,5,0,0,25000,0
PRV55359,No,1,1,80,80,80,0,1,0,80,0
PRV57213,No,3,3,100,33.33,70,0,3,0,100,0
PRV51245,No,5,5,20200,4040,9000,4,1,0,20200,0
PRV54670,No,11,5,6480,589.09,3200,0,11,0,6480,0
PRV54625,No,3,1,580,193.33,500,0,3,0,580,0
PRV53761,No,2,2,1420,710,1400,0,2,0,1420,0
PRV55771,No,1,1,400,400,400,0,1,0,400,0
PRV52334,No,9,9,93300,10366.67,34000,8,1,0,93300,0
PRV52146,No,24,23,237000,9875,39000,24,0,0,237000,0
PRV57407,No,2,1,230,115,200,0,2,0,230,0
PRV56835,No,3,2,590,196.67,500,0,3,0,590,0
PRV55510,No,18,18,5500,305.56,3300,0,18,0,5500,0
PRV55942,No,4,3,12110,3027.5,6000,2,2,0,12110,0
PRV52663,No,16,6,7540,471.25,2100,0,16,0,7540,0
PRV53840,No,1,1,0,0,0,0,1,0,0,0
PRV53394,No,48,44,443300,9235.42,57000,47,1,0,443300,0
PRV57522,No,1,1,10,10,10,0,1,0,10,0
PRV54978,No,15,5,2740,182.67,1200,0,15,0,2740,0
PRV53964,No,9,3,930,103.33,300,0,9,0,930,0
PRV56749,No,11,10,108000,9818.18,20000,11,0,0,108000,0
PRV51101,No,3,3,16600,5533.33,13000,3,0,0,16600,0
PRV53824,No,2,2,250,125,200,0,2,0,250,0
PRV55383,No,8,8,70000,8750,14000,8,0,0,70000,0
PRV52512,No,1,1,100,100,100,0,1,0,100,0
PRV54742,Yes,242,208,2509010,10367.81,125000,231,11,2509010,0,100
PRV53463,No,5,5,13260,2652,5000,3,2,0,13260,0
PRV53569,No,1,1,10,10,10,0,1,0,10,0
PRV54219,No,5,2,190,38,70,0,5,0,190,0
PRV54875,Yes,20,19,172000,8600,25000,20,0,172000,0,100
PRV53873,No,14,13,97000,6928.57,19000,14,0,0,97000,0
PRV57145,No,4,4,70000,17500,48000,4,0,0,70000,0
PRV56796,No,3,3,49000,16333.33,26000,3,0,0,49000,0
PRV56147,No,2,2,18000,9000,14000,2,0,0,18000,0
PRV55067,No,1,1,29000,29000,29000,1,0,0,29000,0
PRV51239,No,1,1,5000,5000,5000,1,0,0,5000,0
PRV56116,No,2,2,3370,1685,3300,0,2,0,3370,0
PRV55937,No,14,8,44160,3154.29,12000,7,7,0,44160,0
PRV55790,No,5,5,48000,9600,20000,5,0,0,48000,0
PRV57729,No,11,10,107000,9727.27,24000,11,0,0,107000,0
PRV55418,No,3,3,18000,6000,8000,3,0,0,18000,0
PRV57092,No,2,2,7000,3500,4000,2,0,0,7000,0
PRV54946,No,3,3,860,286.67,700,0,3,0,860,0
PRV54653,No,41,32,371060,9050.24,42000,40,1,0,371060,0
PRV54768,No,7,7,72000,10285.71,17000,7,0,0,72000,0
PRV51480,Yes,23,9,5920,257.39,1700,0,23,5920,0,100
PRV56578,No,8,8,115100,14387.5,37000,7,1,0,115100,0
PRV53609,No,4,4,8760,2190,6000,2,2,0,8760,0
PRV54998,Yes,59,51,530000,8983.05,33000,59,0,530000,0,100
PRV53031,No,1,1,700,700,700,0,1,0,700,0
PRV51554,No,1,1,9000,9000,9000,1,0,0,9000,0
PRV51425,No,3,3,11000,3666.67,5000,3,0,0,11000,0
PRV52455,No,6,1,3490,581.67,1600,0,6,0,3490,0
PRV54830,No,2,2,13060,6530,13000,1,1,0,13060,0
PRV52214,No,1,1,10,10,10,0,1,0,10,0
PRV56674,No,9,2,1670,185.56,500,0,9,0,1670,0
PRV51940,Yes,194,171,1965700,10132.47,71000,193,1,1965700,0,100
PRV52831,No,20,19,246000,12300,57000,20,0,0,246000,0
PRV55316,No,3,3,400,133.33,300,0,3,0,400,0
PRV55116,No,10,4,5350,535,2600,0,10,0,5350,0
